,書名,類別,字數,大綱,狀態,評分
319,在地鐵拯救美少女後默默離去的...,校園 青春 戀愛 歡樂向,18萬,一名少女在地鐵差點遭到隨機殺人魔襲擊。 事後在採訪中映出的可愛樣貌，讓她被譽為「千年一遇的美少女」，就此一炮而紅。 ...,連載,8.5
320,全知讀者視角,奇幻 冒險 穿越 異世界,201萬,一個世界已然毀滅，全新的世界正在誕生。 至於我，則是知曉這個世界結局的 唯一讀者。 我是一個平凡的上班族， 唯一的...,連載,9.9
321,主舞台的各種味道 ～基沃托斯晄...,校園 青春 美食 歡樂向 女性視角,5.5萬,為了尋求新的美食，美食研究會一行決定前往晄輪大祭。 從基沃托斯各地聚集而來的小吃攤讓其他成員的眼睛都放光了，而純子卻...,完結,10
322,誰都不想親近的孤單辣妹，每天...,校園 青春 戀愛 歡樂向,7.3萬,「我想向你表示感謝，把備用鑰匙給了我這個無依無靠的人」 獨自生活的高中生·街川庵，為了幫助無處可去的網路摯友，提出合...,連載,9.8
323,突然有了未婚妻，沒想到對方竟...,校園 青春 戀愛 歡樂向 大小姐,33.6萬,平穩的日常驟變！出現在眼前的未婚妻是有名的蠻橫千金！？ 「你有未婚妻了。」──在某個周六的早晨，父親告知了一項衝擊性的...,連載,9.7
324,刀劍神域外傳 Clover』s regret,懸疑 戰鬥,36.7萬,戰巫女那由他與忍者小歷。在「飛鳥帝國」里成為好朋友的兩名少女，也在這款遊戲遇見了不可思議的法師矢凪。 這名年老的僧侶...,完結,9.5
325,亂世千金倪亞・利斯頓,穿越 奇幻 龍傲天 大小姐 女性視角,22萬,擁有最強前世的轉生千金，第二人生也要大鬧天下！！ 「既然人難免一死，我寧可死在戰鬥中。」 過去曾有個達成弒神偉業的大...,連載,9.5
326,時隔10年重逢，臭小鬼長成了清...,青春 戀愛 後宮 JK 歡樂向,16.5萬,有月勇（28）辭去了東京的黑心企業的工作，回到老家。正當他鼓起幹勁想要展開新生活的時候，遇見一名神秘的清純美少女高中生...,連載,9.8
327,九十九 -百年追尋-,奇幻 戀愛,12.5萬,「正是無法尋回，才會縈繞於心。」 你聽說過嗎？ 器物只要放置百年，吸收天地精華、靈氣與思念，便會幻化成擁有情感意志...,完結,9.8
328,三角的距離無限趨近零,校園 青春 戀愛,75.7萬,在別人面前，我總是扮演著「虛假的自己」。 而讓這樣的我墜入愛河的對象，正是無論何時都貫徹自我的文靜轉學生──水瀨秋玻。 ...,完結,9.5
329,旅行鍊金術師的慢生活,穿越 奇幻 旅行 冒險 女性視角,27.9萬,體弱多病、長期住院的梅依只能通過遊戲和電視去了解外面的世界，某一天，她因病離世了。 在神明的幫助下，她成為了一直以來...,連載,9.9
330,寂寞的頻率,懸疑 推理,7.6萬,錯過是寂寞，後悔是寂寞， 等待是寂寞，成全是寂寞。 我們會相遇，也是因為寂寞。 四個餵養「寂寞」的故事， 乙一既孤...,完結,10
331,我的生存意義,懸疑 黑暗 獵奇 末日 後宮,64.1萬,一但選擇了某人，沒被選上的人就必須犧牲。 某日放學後，高中生斗和同時被兩名要好的同學告白。究竟該選擇誰才好，他的心裡...,連載,9.7
332,持續狩獵史萊姆三百年，不知不...,穿越 龍傲天 人外 女性視角,165.6萬,曾經眼中只有工作，卻在二十七歲過勞而死的相澤梓，在轉生時許願成為長生不老的魔女，就這樣持續悠哉慢活了三百年，不知不覺...,連載,9.9
333,想讓我出人頭地的最強女師父們...,奇幻 魔法 冒險 後宮 歡樂向,21.6萬,夢想成為冒險者的主角克洛斯，因為實力太弱而被學校驅逐，因緣際會之下與尋找未來戀人候補並計畫親自培養之的最強女師父們給...,連載,9.6
334,精英 ELITE,音樂 校園 青春 戀愛 青梅竹馬 女性視角,9.8萬,我──綾瀨咲是個認真的人，從小就乖乖聽媽媽的話，也很拚命練習演戲。 我也很用功念書，成功地成為大家認同的「模範生」。 ...,完結,9.7
335,TAMAYA,音樂 校園 青春 戀愛,8萬,在夏日祭典遇見翔與玲奈的少年，嚮往著「特別」── 我一直抱持著自卑感。 念書和運動不用說，料理和裁縫也不怎麼樣，沒有任...,完結,9.7
336,下班回家，單身美女上司對我有...,青春 職場 戀愛 歡樂向,19.2萬,冷艷美女上司——主動向我提出工作以外的請求！？ 「就拜託你……來和我上床吧。」 年輕職員實澤春彥，受公司里無人不懼的「...,完結,9.7
337,天才少女想和我做的十件事,戀愛 青春 校園,12萬,「……想實現的事情筆記。這是什麼？」 我叫做音海日菜子，是剛進入音大的大一新鮮人。 聽說在同年級學生中，有一位叫做七...,連載,9.8
338,項圈套不住魔女,魔法 冒險 戰鬥 戀愛,8.1萬,隨著貴族階級獨佔的魔術普及大眾，犯罪率也隨之激增。皇國採取措施，設立魔術犯罪搜查局。 搜查官羅格由於上司薇拉朵娜的計...,連載,9.8
339,伊里野的天空、UFO的夏天,校園 科幻 青春 戀愛,46萬,暑假最後的那天夜晚，悄悄潛入學校泳池的淺羽直之與一位手腕上嵌有銀色球體不可思議的少女伊里野加奈相遇。 新學期，伊里野...,完結,9.7
340,怕痛的我，把防禦力點滿就對了,奇幻 歡樂向 龍傲天 女性視角,114.4萬,梅普露缺乏一般遊戲常識，把所有配點都灌到防禦力（VIT）去了。 動作緩慢，又不會用魔法，搞得連兔子都耍得她團團轉。 咦，...,連載,9.7
341,我媽轉世啦,青春 戀愛 轉生 歡樂向,9萬,父母雙亡的悲慘青年徐東靠著剪輯視頻為生，這一天，一位七歲的小蘿莉來到他家中，自稱是他母親，徐東懵了。,完結,9.4
342,鄰座的不良少女清水同學染黑了頭髮,校園 青春 戀愛 歡樂向,8萬,「清水同學，妳把頭髮染黑了呢。」 「算、算是啦。」 「為什麼突然想染黑呢？」 「問我為什麼……還不是你昨天……」 她有些...,連載,9.2
343,創約 魔法禁書目錄,校園 科幻 異能 魔法 冒險 後宮,110.4萬,《魔法禁書目錄》系列的第三部 超越新約，開創新的時代！「創約」篇，開幕！！ 科學與魔法交錯的世界。 這裡是進行超能力...,連載,9.9
344,位於戀♡光譜極端的我們,校園 青春 戀愛 後宮,59.9萬,★邊緣人男友×萬人迷女友！ ★戀愛經驗差距如此之大的兩人真的能交往嗎!? 「我、我喜翻妳！」「咦……稀飯泥？」 充滿邊緣人...,連載,8.8
345,我的女朋友意外地有求必應,校園 青春 後宮 歡樂向,10.1萬,「拜託了──讓我看看妳的內褲吧！」「看、看了又能怎樣？」 全校第一的美少女辣妹葉月葵，與平凡的高中一年級學生壽湊也， ...,連載,9.8
346,才女的侍從,校園 歡樂向 戀愛 後宮 大小姐,60.1萬,貴族學校的第一千金只對我撒嬌！ 表面上完美無缺的她，竟是生活能力零的懶鬼!? 與愛撒嬌又懶散的千金小姐共同譜出青春愛...,連載,9.9
347,三葉物語 詛咒少女與死亡亂舞,奇幻 魔法 戰爭 校園 女性視角,31.9萬,與瘋狂共舞。 『這個世界為我而轉——』 伴隨著謎之萬能感，少女三葉從長眠中醒來。 但是，繼母對三葉的蘇醒並不滿意。在繼...,連載,10
348,Heartcatch 光の美少女！,科幻 戰鬥 校園 青春 女性視角,9.1萬,在Shypre、Coffret、Popuri與花咲蕾、來海繪里香、明堂院樹相遇變成Cure Blossom、Cure Marine、Cure Sunshine與想要征服世界...,完結,10
349,獵捕史奈克,懸疑 犯罪 驚悚,14.4萬,盛裝打扮的妙齡女子，持霰彈槍闖入舉行婚宴的大飯店，她為什麼持槍？殺人目標又是誰？動機為何？ 暗自埋伏，等待女子夜歸的...,完結,10
350,毒の王,奇幻 冒險 龍傲天 後宮 歡樂向,9.5萬,用毒之力征服世界與美女的最強後宮無雙奇譚！ 人稱詛咒之子的少年凱姆，在剛出生時全身即遭受毒咒侵蝕。 備受眾人厭惡的他...,連載,10
351,從路人角色開始的探索英雄譚,奇幻 戰鬥 冒險 龍傲天 後宮 青梅竹馬,18.4萬,從不起眼的底層探索者邁向成功之路！ 能力值低到堪稱路人角色的高中生•高木海斗是個平凡無奇的探索者，每天都在日本出現的迷...,連載,9.2
352,「你想一起睡對吧，學長？」在...,校園 青春 戀愛 歡樂向,7.8萬,榮獲Fantasia大賞金獎，和後輩醬兩人獨處的徹夜戀愛喜劇！ 因失眠症而煩惱的高中二年級生・半崎獏也，某天他邂逅了在深夜公...,連載,9.8
353,刀劍神域外傳 Gun Gale Online,科幻 戰鬥 冒險 女性視角,149萬,小比類卷香蓮是身高183公分的女大學生。由於身高的自卑感作祟，讓她在「現實世界」里無法順利與人相處，但是VRMMO「GGO」改變...,連載,9.9
354,軍人少女，要潛入皇立魔法學校...,穿越 校園 魔法 戀愛 大小姐 女性視角,19萬,菈捷驅使著前世的記憶，15歲便以錫安皇國的菁英軍人而聲名大噪，某天從上司──無情宰相閣下口中，收到下一個任務，竟要她以學...,連載,9.7
355,吹響吧！上低音號 歡迎來到立華...,校園 音樂 競技 青春 女性視角 青梅竹馬,19.9萬,自從看到馬ーチング樂隊表演後就一直憧憬著的立華高中吹奏樂部的新成員佐佐木梓，立刻體驗到了強豪學校所特有的嚴格訓練。嚴...,完結,9.8
356,吹響吧！上低音號,校園 音樂 競技 青春 女性視角 青梅竹馬,107.9萬,「為什麼只拿到金牌就高興成這樣？我們的目標明明是進軍全國啊！」 管樂大賽結束，久美子與隊友都為金牌開心不已時，只有首...,完結,9.8
357,弱角友崎同學,校園 歡樂向 青春 戀愛 後宮,171.2萬,人生是款糞作Game。 這句隨處可見的話語，很遺憾正是現實。而既然是由我這個日本數一數二的玩家所說的那就更不會錯。 不過...,連載,9.8
358,非自願的不死冒險者,奇幻 戰鬥 冒險 人外,132.6萬,以最頂級的神銀級冒險者為目標，轉眼過了十年。仍是區區銅級冒險者的雷特，獨自闖進《水月迷宮》，並在那裡碰到了「巨龍」，...,連載,9.7
359,把班上的孤單辣妹帶回家改造成...,校園 青春 戀愛 歡樂向,43.3萬,我把班上的孤單辣妹撿回家了。 一個人獨自生活的高中生‧明護晃，在某個下雨天於家附近的公園發現全身濕透的金髮辣妹同學‧五...,連載,9.6
360,魔法★探險家 轉生為成人遊戲萬...,穿越 魔法 冒險 龍傲天 後宮,52萬,「傳說的美少女遊戲」《魔法★探險家》。 我轉生為這遊戲中身懷作弊技能又走桃花運的主角！── 旁邊那位臉上掛著輕浮笑容又不...,連載,9.8
361,夜獸使 黑鏡,奇幻 懸疑 驚悚,7.6萬,沒有人性的美麗偵探驅使妖獸，吞噬鬼怪！ 我死了你就去〈黑宅院〉—— 母親同〈異樣之敵〉戰鬥之後消失無蹤。冬乃雛芥子遵從...,完結,9.9
362,假面騎士響鬼：指向明日的指針,科幻 戰鬥 校園 青春,10.4萬,安達明日夢是一位即將參加中考的14歲少年，究竟是去水平最好的城南高中，還是去銅管樂隊興盛的城北高中……猶豫一番後，明日夢...,完結,10
363,王宮侍女安娜的日常,戀愛 大小姐 女性視角,23萬,由於『真愛』蔓延，政治婚姻出現了消退的傾向。 男爵千金安娜期待著工作和邂逅兩不誤，成為王宮侍女已經兩年了。雖然明明是...,連載,9.8
364,織星,校園 青春 戀愛,14.5萬,2023年本屋大賞受賞作《君若星辰》續作 如煙火般璀璨奪目， 我們遠眺那可望不可即的星光， 如大海般平靜守護， 在你我身...,完結,9.8
365,重生大小姐正在攻略龍帝陛下,穿越 奇幻 戀愛 歡樂向 大小姐,12.3萬,被未婚夫王太子宣判處刑的貴族千金·吉爾。然而臨死之際，她逆行回了6年前訂下婚約的派對。為了迴避破滅路線，馬上向身後的人...,連載,9.9
366,死了，然後再重新転生，這算是...,奇幻 冒險 異能 格鬥 戀愛 後宮,5萬,本該是臨死之人的我卻被得知可以転生回原本的世界了？！ 但是這個世界好像又有些不一樣？ 異能與妖精？超能力？ 這都是些...,連載,9.2
367,不要再發獃了，請認真戰鬥！！！,冒險 戰鬥 奇幻 魔法 異世界,26.6萬,「你有著詛咒...」 這時少女可能無法相信，對她來說這簡短的一句話改變了這世上所有人的命運。 「神明」們之間惡劣的互...,連載,9.6
368,哆啦A夢小說 大雄與鐵人兵團,奇幻 冒險 戰鬥,12.8萬,大雄偶然間經由隨意門抵達北極，撿到巨大的機器人零件，哆啦A夢用神奇法寶把零件運入顛倒世界組合完成。正當大雄和機器人玩得...,完結,10
369,超妹理論,青春 病嬌 戀愛 歡樂向,39.5萬,華黒：哥哥！喜歡！喜歡！非常喜歡！我愛你！ 真白：不，我們是兄妹…… 不能離開哥哥的妹妹。 頭疼的哥哥。 或許那只是普通...,連載,9.9
370,在異世界獲得超強能力的我，在...,穿越 校園 魔法 龍傲天 後宮,107.7萬,天上優夜是個從小便飽受殘忍對待的少年，在他對人生絕望時，『通往異世界的大門』竟為他打開了！大門的另一頭，是兇惡魔物橫...,連載,7.8
371,物語系列 Monster Season,校園 奇幻 青春 戀愛 後宮 人外,83.4萬,物語系列第五季內容，描述阿良良木歷大學四年的故事。前接《物語系列OffSeason》內容。,連載,9.9
372,相機前輩和擅長照顧人的後輩醬,校園 青春 後宮 歡樂向 青梅竹馬,20.7萬,「可以幫我拍張照嗎……？前輩」 神崎彩人，擁有天才攝影技術卻只對拍歐派感興趣的高中生。 他的目標是拍攝終極之美的「歐派...,完結,9.9
373,將我的永遠全都獻給妳,科幻 青春 戀愛 女性視角 輕文學,10.2萬,一個只要妳活著，就感到幸福的人 她名喚千花，活得卻像垃圾一樣。 而一場冰冷雨中的邂逅，身邊替她撐起一片暖意的男人， ...,完結,10
374,小書痴的下克上 ～為了成為圖書...,穿越 奇幻 校園 戀愛 女性視角,588萬,從小就是個超級書痴的女大學生麗乃，愛書愛到希望在書堆里死去。該說是「夢想成真」嗎？好不容易應徵上圖書館工作的她，沒想...,連載,9.9
375,某個獵龍人的故事,奇幻 冒險 戀愛,24.4萬,盧諾·哈維森，作為貴族後代的他本應有著一帆風順的人生，直到一場突如其來的變故讓他失去了一切。 「那頭巨龍毀滅了我的故鄉...,連載,9.9
376,Glimmer～夏夜的眼睛，跳動的心臟,校園 青春 戀愛,6.2萬,如果心生病了，用什麼可以醫治？ 如果眼睛被借走了，又有什麼可以替代？ 輕柔的鋼琴聲透過窗玻璃，透過樹葉間的縫隙，與梧...,連載,9.9
377,銀荊的告白,校園 青春 戀愛 青梅竹馬 ,39.7萬,不起眼的高中生‧紙木咲馬有個完美的總角之交──槻木汐。 他不但是美少年，而且成績優秀、運動萬能，還很有人緣，特別受女生歡...,連載,9.9
378,由最兇惡魔王所鍛煉的勇者，在...,奇幻 校園 後宮 龍傲天,21.5萬,修行三萬年的少年，與最兇惡魔王一同挑戰勇者！ 不具備女神恩賜的固有異能、無法拯救世界的少年‧九條恭彌，拯救無數世界後歸...,連載,9.1
379,歡迎光臨自助洗衣店,校園 青春 戀愛 ,14.2萬,「如果湊是高中生，你會跟我交往嗎？」 湊和慎一同參加商店街的芋煮會。後來他們戴著碰巧拿到的幸運手環入睡， 結果一醒...,連載,8.5
380,善良大叔轉生走上SSS級人生,穿越 戰鬥 後宮 龍傲天,25.9萬,在這世上，因果報應和前世的所作所為，將決定一個人轉世後的等級。而一位心地善良到連神都嘆為觀止的大好人，轉世為貴族之子...,連載,9.2
381,魔女の旅 學園,校園 奇幻 歡樂向 女性視角,4.7萬,「沒錯，就是我。」 以不知道為什麼變成女高中生的伊蕾娜為首，《魔女之旅》的角色們正在享受校園生活。和沙耶與艾姆妮西亞...,連載,10
382,班上的原偶像，總の就是舉止可疑,校園 青春 戀愛 歡樂向,15.4萬,不平凡的她的，平凡的戀愛故事。 一條卓也是個非常平凡、隨處可見的普通男子高中生。 他的班上有個完全不普通、原全民偶像...,連載,9.8
383,轉生後的我成了英雄爸爸和精靈...,穿越 戰鬥 龍傲天 人外 女性視角,75.6萬,經歷了埋首於研究工作的前世，轉生後的我變成了元素精靈。 爸爸以前是英雄，媽媽是精靈王，我也天生擁有作弊般的超強能力…… ...,完結,8
384,魔法科高中的劣等生,校園 科幻 魔法 戰爭 後宮 ,423.4萬,魔法。 這不是傳說或童話的產物，而是發展至今將近一個世紀的現實技術。 今年春天，新生入學的季節來臨了。 國立魔法大學...,完結,9.7
385,好想過窮奢極侈的生活！轉生後...,穿越 魔法 經營 戀愛 大小姐 女性視角,23.6萬,瑟蕾絲緹雅在五歲的生日勃然大怒。 因為一撞到頭想起前世的記憶，發現還是一貧如洗。 然後在怒火中學會了魔法。 明明是女...,連載,9.7
386,異世界悠閑農家,穿越 歡樂向 經營 後宮 人外,184.6萬,不敵病魔而辭世的青年──火樂，被神明復活並變年輕後轉移到異世界， 期待展開享受悠閑農業的第二人生！ 得到神明所授予的「...,連載,9.6
387,奈奈闖禍倒數五秒鐘,校園 奇幻 歡樂向 美食,8萬,織上高中的料理研究同好會三人組。 「猜猜我在做什麼？」 總是精力MAX暴走出洋相的奈奈。 「不要。很麻煩耶。」 隱宅個性...,連載,9.8
388,獻給活在監獄的你們,青春 黑暗 懸疑 輕文學,7.7萬,六名高中生被關在廢棄房舍。房舍中有的僅是一點點糧食，以及一封信—— 「揪出殺了我的犯人」。 寄件人是真鶴茜。也是七年前...,完結,9.6
389,少女夜行,奇幻 懸疑 群像 治癒,11.3萬,在這片蒼鬱卻瀰漫不祥氣息的山林之間，彷彿連空氣與時間都被一股潛藏其中、讓人心生畏懼的沉重束縛感所凍結。 只要靠近城山...,完結,9.9
390,GJ部,校園 青春 歡樂向 後宮 ,52萬,剛進高中的四之宮京夜，某天莫名其妙地被迫加入了GJ部。在這個社團里，還有四位個性十足的女孩子～個子雖小但態度高傲的部長...,完結,9.8
391,香格里拉邊境（漫畫）,奇幻 冒險 戰鬥 熱血,0.3萬,最強、無與倫比的糞作玩家來了！ 但為什麼要頭戴鳥面赤裸上身？ 對興趣認真有錯嗎？ 玩什麼都能夠「樂在其中」才是最強的...,連載,10
392,喂，乾脆交往吧？受到美少女青...,校園 青春 戀愛 青梅竹馬 歡樂向,39.8萬,御宅族男子真園正市和學校第一美少女來海十色是腐爛緣的青梅竹馬。 十色總是在正市的房間里閑逛，對他來說只不過像家人一樣...,連載,9.8
393,末日時在做什麼？有沒有空？可...,奇幻 戰鬥 黑暗 末日 戀愛 人外,58.5萬,「人類」遭到非比尋常的「獸」蹂躪而滅亡了。 除了獨自從數百年沉眠中蘇醒的青年威廉以外。 唯有「聖劍」與使用聖劍的妖精...,完結,9.9
394,在終點相遇,青春 校園 戀愛,13萬,不知從何時開始，我已經忘掉我因為什麼而向前了。 朋友也好，家人也罷，一切的一切都變得透明。 所以，我不斷地去找尋繼續...,連載,9.9
395,斯人立於神壇の上,奇幻 戰鬥 冒險 懸疑,13.7萬,如今跪拜於神明之前的人們中，無人知曉神明何時誕生、為何誕生、如何誕生。他們或許自以為神明誕生是為了拯救蒼生，然而在這...,連載,10
396,V皮套下的另一面,校園 青春 戀愛 歡樂向 後宮,14.3萬,「能不能成為我的媽媽呢？」 千景是一名職業高中生插畫家，他擁有著無人能及的美麗和孤獨。某天，孤高的少女果澪請求他：「...,連載,9.4
397,生活跌到谷底の後 一切喧囂都是...,戀愛 校園 ,7.5萬,血液沾浸透衣裳，雨水拍打在臉龐。 看著眼前失去雙腿的父親，我意識到未來失去了希望。 只是想起還未成年的妹妹。 聽著耳...,連載,9.8
398,自稱賢者弟子的賢者,穿越 冒險 龍傲天 ,240.5萬,VRMMO「Ark Earth Online」中，扮演九賢者之一老成召喚術士「鄧不利夫」的咲森鑒在遊戲中睡著，竟就此來到成為現實世界的遊戲...,連載,9.8
399,我們的『閱讀理解』出了錯,推理 青春 校園 戀愛,10.8萬,錯綜複雜的戀情和交錯的推理。第27屆Sneaker大獎《銀獎》獲獎作品！ 學生這種生物，每天都在尋找「不明白的事情」的答案 明...,連載,9.8
400,我的幸福婚約,輕文學 戀愛 女性視角,64.5萬,這是描述一名少女逐漸得到愛情和幸福的故事── 出生名門望族的齋森美世， 因生母過世得早，自幼便在繼母與繼妹的欺凌下長...,連載,9.9
401,轉生成知朱又怎樣！(漫畫),穿越 冒險 魔法 戰鬥 群像 人外,0.1萬,原本是女高中生的「我」一覺醒來…… 不知為何居然在異世界轉生成「蜘蛛」！ 身為最弱小的「蜘蛛」種魔物，還被困在毒青蛙和...,連載,9.5
402,我們不可能成為戀人！絕對不行...,校園 歡樂向 戀愛 女性視角 青梅竹馬,71.5萬,「我再也不要孤零零的了！我要贏得最棒的高中生活！」 捨棄孤零零的中學時代，在高中初次亮相的我——甘織玲奈子。 但我本性...,連載,9.9
403,複製品也要談戀♡,校園 青春 戀愛 女性視角 人外,28.9萬,16歲，夏天。第29屆電擊小說大獎《大獎》獲獎作品，初次青春。 —— 4128件參賽作品的巔峰 —— 第29屆電擊小說大獎《大獎》...,連載,9.8
404,五年二班的吸血鬼,校園 奇幻 歡樂向,7.3萬,小學五年級生上原翔，在他有點喜歡的同學西本萬裡衣的煽動之下，來到隔壁廢棄房屋的地下室進行探險。翔在地下室發現棺材，裡...,完結,9.7
405,敗給了性格惡劣的天才青梅，初...,校園 青春 戀愛 青梅竹馬 女性視角,9.4萬,每當輸給「討厭」的她時，所暴露出的真實心情——。 吉澤若葉的青梅竹馬——梅園小牧堪稱完美。 品行端正且才色兼備的優等生⋯⋯...,連載,8.9
406,黑狼王與白銀人質公主 ～在邊境...,戀愛 戰爭 大小姐 女性視角,10.8萬,我一直孤單一人。 直到我遇見黑狼王，遇見你。 身為澤斯王國王女的艾黛兒，因母親是國王妾室而遭王后等人凌虐。 在國家敗...,連載,10
407,交流障礙TS轉生少女的千夜物語,異世界 轉生 歡樂向,39.4萬,製作完自己喜歡的角色後，莫名其妙地就以那樣的姿態生活在異世界了。 似乎是作為『夜之化身』獲得了非常厲害的能力。 每次...,完結,9.6
408,驚爆危機,校園 科幻 戰爭 機戰 戀愛 歡樂向,228.9萬,在和平的陣代高校中，過著尋常高中生活的千鳥要面前，突然出現了一名轉學生。這位名叫相良宗介的轉學生，居然到處如影隨形的...,完結,9.9
409,技能【幸運】無雙～我被趕出湊...,奇幻 冒險 戀愛 歡樂向,36.7萬,某天，我被隊伍炒魷魚了。 「光靠『幸運』在撐的寄生蟲，我們的隊伍不需要。」 環顧四周，隊伍成員們只是默默地以冷酷的眼...,完結,9.6
410,某大叔的VRMMO活動記,冒險 戰鬥 遊戲 美食,189.7萬,「重啟自由之地﹙One More Free Life﹚」是一款VRMMO遊戲﹙實境網遊﹚，主角大地在遊戲中使用著被稱為廢物職業的弓使，卻慢慢...,連載,9.6
411,處刑少女的生存の道,穿越 異能 冒險 戰鬥 女性視角,73.8萬,這個世界，會出現來自異世界日本的「迷途人」。由於過去曾經有失控的迷途人引發世界性的大災難，因此只要一發現這些人，就必...,連載,8.8
412,這會是誰的戀♡喜劇?（反正不是...,穿越 校園 青春 戀愛 歡樂向,16.2萬,我——川越鹿仁，一位高中出道失敗，經歷了失敗的三年時光的學生，在高中畢業這天為了救人不幸被卡車撞倒去世了。 本來以為會...,連載,9.7
413,以反叛者の名遭到王國處刑的隱...,穿越 魔法 戰爭 戀愛 大小姐,11.3萬,艾爾迪亞是王國最強的騎士，也是終結雷修菲爾特王國與梵爾岡帝國戰爭的功臣。他雖然成為英雄，卻因為莫須有的罪名而成為反叛...,連載,9.6
414,說謊的男孩與壞掉的女孩,校園 懸疑 黑暗 後宮 青梅竹馬,143.7萬,御園麻由。 她是我的同學，既聰明又漂亮，是對我來說是很重要的人。她現在就坐在我旁邊，天真無邪地笑著。 在客廳裡面與麻...,完結,9.8
415,死神與聖女, 戀愛 校園 異世界 魔法,1.2萬,豪華絢爛異能少女戰鬥幻想！ 時間設定在聖歷1930年。這個世界中，兩個大國尖銳對立。 一方是以「魔術」為力，企圖統治世...,連載,9.8
416,終結的熾天使 吸血鬼米迦爾物語,奇幻 戰鬥 復仇,13萬,這是復仇的物語。 追溯至吸血鬼的起源，天使米迦爾是如何從天空墮入醜陋的大地的物語。 「啊，神啊。神啊。把你這傢伙的血...,連載,9.5
417,我想成為你的眼淚,校園 青春 戀愛 音樂,13.3萬,這是一個從眼淚始、由眼淚終的故事。 「鹽化病」。這是一種讓身體漸漸化作鹽分，最終崩壞的怪病。 少年三枝八雲的母親便...,完結,9.9
418,虛軸少女,校園 科幻 異能 戰鬥 後宮 青梅竹馬,105萬,【全一】──城島硝子。 【有識分體】──柿原里緒。 【破碎的萬花筒】──舞鶴蜜。 還有，城島硝子的【固定劑】──城島晶。 在...,完結,10
419,作為最喜歡的女主角的青梅竹馬...,轉生 冒險 遊戲 青梅竹馬 歡樂向,6.4萬,這裡是Galgame的世界——桐谷奏斗在小學四年級時就已經察覺到了這一點。 他前世出生在一個注重教育且嚴苛的家庭中，在學業與運...,連載,9.4
420,NO推理、NO偵探？,校園 懸疑 女性視角 歡樂向,19.1萬,梅菲斯特獎史上最大問題作！！我叫優，是女高中生偵探·小愛的助手兼死忠應援團。但我的偶像很喜歡推理這種無聊閑話，在如今這...,連載,9.9
421,我的親♡主人!?,穿越 歡樂向 戀愛 青梅竹馬 ,41.6萬,故事發生在一名普通高中生市川吉朗身上。 有一天，吉朗在月台上與睽違多年的青梅竹馬佐倉麻琴重逢。 結果卻意外得知號稱「...,完結,9.4
422,前進吧!! 高捷少女,青春 戀愛 歡樂向,9.6萬,你的幸福，才是我們的終點站！ 沒有不辛苦的工作，只有樂在其中的工作。 高雄捷運，歡迎您的搭乘！ 小穹一直都了解，站...,連載,10
423,春宵苦短，少女前進吧！,青春 戀愛,11.9萬,電波系少女盈盈含笑，純情宅男哀嘆：「愛你在心裡口難開……」，月色迷人，酒香撲鼻，且看他要如何展開一場夜夜夜迷的求愛大作...,完結,10
424,在地下城尋求邂逅是否搞錯了什麼,奇幻 戰鬥 冒險 後宮 人外,349.1萬,迷宮都市歐拉麗——這是一座擁有雄偉地下迷宮（通稱「地下城」）的巨大都市。名為未知的興奮、光輝顯赫的榮耀，以及與可愛女孩...,連載,9.9
425,BLADE＆BASTARD,奇幻 冒險 戰鬥 黑暗 戀愛 歡樂向,16.9萬,★《哥布林殺手》作者 蝸牛くも Ｘ 《OVERLORD》繪師so-bin 全新話題冒險！ ★上市即再版，以奇幻經典「巫術系列」為世界觀創...,連載,9.8
426,最強不敗的神劍使,奇幻 校園 魔法 龍傲天 後宮,31.2萬,名門貴族的私生子•里希特，在隱瞞超乎常理的魔力和絕對的劍技，並具備能夠拔出傳說神劍的「天賦之才」的情況下，被眾人視為無...,連載,8.5
427,妹妹進入女騎士學園就讀，不知...,奇幻 冒險 戀愛 後宮,17.1萬,妹妹就讀的學校是栽培女孩子成為騎士的學園。 即使是在聲名遠播的國家最高學府，優秀妹妹的表現依然十分出色—— 「我告訴其...,連載,9.3
428,夢與歌,青春 戀愛 校園,5.3萬,初中畢業後，曾經暗戀的女生邀我約會，我能否說出自己的心意，而後挽留即將從這個世界消失的她…… 被白月光拒絕後的第226天，...,連載,10
429,七海學園系列,校園 青春 懸疑,32萬,由於各種各樣的原因，無法在家生活的孩子們生活的兒童福利設施「七海學園」。 在這裡，學生們之間流傳著被稱為「學園七大不...,連載,9.7
430,宛如星辰的你,校園 青春 戀愛,31.7萬,風光明媚的瀨戶內海島嶼上，高中生曉海和櫂相遇了。 曉海的父親住進情人家裡，留下曉海照顧抑鬱寡歡的母親； 櫂的母親為了...,完結,9.9
431,孤單一人的異世界攻略,穿越 歡樂向 冒險 戀愛 後宮,200萬,高中生活總是「一個人」度過的遙，某天突然與同班同學一起被召喚到異世界。遙回過神來，神明就在面前，還要他在列著各種外掛...,連載,9.2
432,野崎惑劇場,腦洞 歡樂向,12萬,「電擊文庫MAGAZINE」上好評連載中的超個性短篇期望已久的（？）文庫化。作者·野崎窗的謎之美學在電擊文庫瘋狂肆虐！去找屍體...,完結,10
